number,type,gu,area,room,lat,long
1,다가구,동작구,490.16,8,37.5054356,126.9474484
2,다가구,양천구,259.37,8,37.5453473,126.8424511
3,다가구,강서구,349.05,7,37.5580633,126.8620284
4,다가구,서대문구,360.03,7,37.5915224,126.932577
5,다가구,도봉구,286.08,7,37.67055,127.0484288
6,다가구,도봉구,289.26,7,37.67055,127.0484288
7,다가구,은평구,330.62,7,37.6084975,126.9333785
8,다가구,은평구,248.04,7,37.6309522,126.9261497
9,다가구,은평구,219.86,7,37.6164337,126.931714
10,다가구,강북구,263.93,7,37.6197987,127.0320277
11,다가구,마포구 ,302.71,12,37.5644295,126.9124099
12,다가구,서초구 ,587.04,10,37.4948185,126.9980369
13,다가구,강서구,340.09,9,37.5478136,126.8591521
14,다가구,광진구,509.1,13,37.5496821,127.0764605
15,다가구,도봉구,571.11,14,37.66773,127.02436
16,다가구,강서구,579.78,13,37.5412794,126.8648343
17,다가구,중랑구,454.7,13,37.6125231,127.1133397
18,다가구,광진구,304.2,5,37.5788009,127.0947014
19,다가구,성북구,451.28,20,37.6176549,127.023154
20,다가구,구로구,395.78,10,37.4999208,126.8627442
21,다가구,광진구,452.39,6,37.5694283,127.102805
22,다가구,성북구,207.32,7,37.6201787,127.074872
23,다가구,은평구,313.11,7,37.6337757,126.9258386
24,다가구,서대문구,486,6,37.6027107,126.9432029
25,다가구,성북구,362.22,6,37.6211612,127.0222257
26,다가구,성북구,273.39,6,37.59371,127.03359
27,다가구,은평구,230.04,10,37.614675,126.9212717
28,다가구,서초구 ,508.48,16,37.4839958,127.0516062
29,다가구,성북구,563.22,14,37.6257707,127.0575042
30,다가구,서대문구,431.76,9,37.5930253,126.9295184
31,다가구,은평구,243.57,7,37.59151655,126.9158
32,다가구,은평구,449.76,8,37.6098977,126.9377616
33,다가구,광진구,490.44,12,37.5496821,127.0764605
34,다가구,강서구,455.15,10,37.5521192,126.8559678
35,다가구,도봉구,153.81,5,37.6751832,127.0526274
36,다가구,광진구,452.63,8,37.5663216,127.1012831
37,다가구,관악구,220.09,7,37.4888201,126.9445025
38,다가구,성북구,264.48,7,37.6178819,127.04572
39,다가구,광진구,220.05,13,37.5523162,127.1024311
40,다가구,광진구,287.82,6,37.5523162,127.1024311
41,다가구,강서구,229.98,6,37.5403815,126.8638236
42,다가구,양천구,371.21,8,37.5550492,126.8858003
43,다가구,중랑구,195.7,5,37.6184996,127.0841453
44,다가구,은평구,271.29,5,37.6279737,126.9144781
45,다가구,강서구,220.08,5,37.5443888,126.8624049
46,다가구,중랑구,200,5,37.6184996,127.0841453
47,다가구,성동구,575.14,12,37.5805367,127.0493374
48,다가구,서대문구,323.9,5,37.5805041,126.9355441
49,다가구,서대문구,341.28,7,37.5872615,126.9170281
50,다가구,마포구 ,67,9,37.5701246,126.918565
51,다가구,서대문구,84.86,1,37.5894396,126.9249143
52,다가구,구로구,268.1,5,37.4992339,126.8968481
53,다가구,강북구,209.78,5,37.655791,127.0218307
54,다가구,은평구,292.08,6,37.6256806,126.9226848
55,다가구,은평구,290.32,7,37.6344047,126.9316946
56,다가구,도봉구,279.48,7,37.6425129,127.053492
57,다가구,강동구,501.59,11,37.551245,127.1457519
58,다가구,성북구,367.32,10,37.5973566,127.0392969
59,다가구,서대문구,361.86,10,37.597684,126.9405933
60,다가구,동대문구,482.68,10,37.5811261,127.0417843
61,다가구,구로구,199.53,5,37.5068121,126.8942901
62,다가구,구로구,349.12,8,37.5066514,126.8952121
63,다가구,강북구,217.17,5,37.63197,127.02286
64,다가구,도봉구,236.15,5,37.6590009,127.0389774
65,다가구,도봉구,248.06,5,37.6786889,127.0453376
66,다가구,마포구 ,187.72,5,37.5639725,126.9120972
67,다가구,마포구 ,235.62,5,37.5783333,126.919105
68,다가구,마포구 ,457.63,5,37.567211,126.9256473
69,다가구,은평구,189.45,5,37.6287962,126.9215198
70,다가구,은평구,236.15,5,37.6367683,126.9326756
